O=C/1Nc2ccccc2C1=C/3Nc4ccccc4C3=O
Oc1c(N=Nc2ccc(Br)cc2S(=O)(=O)[O-])c(cc3cc(c(N=Nc4ccc(Br)cc4S(=O)(=O)[O-])c(O)c13)S(=O)(=O)[O-])S(=O)(=O)[O-]
Nc1c(N=Nc2ccc(cc2)c3ccc(N=Nc4cc(c5ccccc5c4N)S(=O)(=O)[O-])cc3)cc(c6ccccc16)S(=O)(=O)[O-]
[O-]C(=O)c1ccccc1C(=C2C=C(I)C(=O)C(=C2)I)c3cc(I)c([O-])c(I)c3
Oc1cc(c2ccccc2c1N=Nc3ccc4ccccc4c3O)S(=O)(=O)[O-]
Oc1ccc2ccccc2c1N=Nc3c(O)cc(c4ccccc34)S(=O)(=O)[O-]
Oc1ccccc1C=NNC(=O)C(=O)NN=Cc2ccccc2O
CCCCCCC(Oc1ccc(cc1)S(=O)(=O)c2ccc(OCc3ccccc3)cc2)C(=O)O
OC(=O)COc1ccc(N=Nc2ccc3cc(Br)ccc3c2O)cc1
Cc1ccc(cc1)c2cc(cc(n2)c3ccc4ccccc4c3)C(=O)O
CC(C)CC(Oc1ccc(OC(=O)c2cc(nc(c2)c3ccc(Cl)cc3)c4ccc(Cl)cc4)cc1)C(=O)O
CCCCc1ccc(cc1)c2cc(cc(n2)c3ccc(Cl)cc3)C(=O)O
OC(=O)c1cc(nc(c1)c2ccc(cc2)c3ccccc3)c4ccc(Cl)cc4
CC(C)(C)c1ccc(cc1)c2cc(cc(n2)c3ccc(Cl)c(Cl)c3)C(=O)O
OC(=O)c1cc(nc(c1)c2ccc(Sc3ccc(Cl)cc3)cc2)c4ccc(Cl)cc4
Clc1ccc(CSC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1
CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c(C(=O)/C=C/c3ccccc3)c4OC(C)(C)C=Cc4c2O)c1O
Cn1cc(C2=C(C(=O)NC2=O)c3cn(CCCSC(=N)N)c4ccccc34)c5ccccc15
COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCCN(C)Cc3ccccc3)C
Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1
O=C1NCc2c1c3c4ccccc4[nH]c3c5[nH]c6ccccc6c25
O=C1/C(=C/2Nc3ccccc3C2=O)/Nc4ccccc14
Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1
Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4
CN(C)CCCn1cc(C2=C(C(=O)NC2=O)c3cn(C)c4ccccc34)c5ccccc15
O=C(OCc1ccccc1)c2ccccc2
C1CNCC(C1)C=C2c3ccccc3c4ccccc24
Cc1cc(Cl)cc2S/C(=C/3Sc4cc(Cl)cc(C)c4C3=O)/C(=O)c21
Oc1ccc(N=Nc2cccc(Br)c2)cc1
Clc1ccc2sc(Sc3nnc(NC(=O)c4cccs4)s3)nc2c1
Oc1c(/C=C2/C(=O)Nc3ccccc23)ccc4CCCCc14
CC(C)(C)c1cc(/C=C2/C(=O)Nc3ncccc23)cc(c1O)C(C)(C)C
O=C/1Nc2ccccc2C1=Cc3ccc(s3)c4cccs4
COc1ccc2C3CCC4(C)C(CCC4C3CCc2c1)NCCCc5ccccc5
COc1ccc2C3CCC4(C)C(CCC4C3CCc2c1)NCCNc5ccc(cn5)[N+](=O)[O-]
Oc1ccc(cc1O)c2csc(Nc3ccc(F)cc3F)n2
[O-][N+](=O)c1ccc(NN2C(=O)C3C(C2=O)C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl)c(c1)[N+](=O)[O-]
CC(C)c1ccc(/C=C2/C(=O)Nc3ccccc23)cc1
C.[O-]c1c(I)cc2c(Oc3c(I)c([O-])c(I)cc3C42OC(=O)c5c4c(Cl)c(Cl)c(Cl)c5Cl)c1I
Cc1cc(Cl)cc2S/C(=C3/Sc4cc(Cl)cc(C)c4C3=O)/C(=O)c21
O=C1O/C(=CNc2ccc(Oc3ccccc3)cc2)/c4ccccc14
Oc1ccc(N=Nc2ccc(Br)cc2)cc1
Clc1ccc2sc(Sc3nnc(NC(=O)c4ccc(Cl)c(Cl)c4)s3)nc2c1
COC1CC[C@]2(C)[C@H](CCC3C4CC[C@@H](NCCN)[C@]4(C)C[C@@H](O)C32)C1
CN(C)c1ccc(/C=C2/C(=O)Nc3ccccc23)cc1
CC(C)Nc1ccnc(c1)N2CCN(CC2)C(=O)C3Cc4cc(NS(=O)(=O)C)ccc4N3
Oc1cc(O)c2c(=O)c(O)c(oc2c1)c3ccc(O)c(O)c3
N/C(=C(/C#N)C(=C(/N)Sc1ccccc1N)C#N)/Sc2ccccc2N
