O=c1n(sc2ccccc12)c3ccccc3
CCOc1ccc2nc3cc(N)ccc3c(N)c2c1
CN1CCc2cccc3c2C1Cc4ccc(O)c(O)c43
COc1cccc(c1N)c2cc(=O)c3ccccc3o2
O=S(=O)(N1CCCNCC1)c2cccc3cnccc23
NC(=[NH2+])NN=Cc1c(Cl)cccc1Cl
[O-]S(=O)(=O)c1cccc2cccc(Nc3ccccc3)c12
CN(C)CCN(Cc1ccccc1)c2ccccn2
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
Nc1nc(N)c2nc(c(N)nc2n1)c3ccccc3
CC(C)NC(=O)NS(=O)(=O)c1cnccc1Nc2cccc(C)c2
O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13
NCCNCCNCCNCCN
Nc1c2CCCCc2nc3ccccc13
O=C1C(CCS(=O)c2ccccc2)C(=O)N(N1c3ccccc3)c4ccccc4
Nc1ccc(cc1)S(=O)(=O)Nc2ncccn2
Nc1nc2ccc(OC(F)(F)F)cc2s1
Cc1cc2nc3c(=O)[nH]c(=O)nc3n(C(O)CC(O)C(O)CO)c2cc1C
[Br-].CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc3ccccc13)C(C)C
CCC1(C(=O)NCNC1=O)c2ccccc2
COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4ccco4
Nc1ccc(N=Nc2ccccc2)c(N)n1
Cc1nccn1CC2CCc3c(C2=O)c4ccccc4n3C
COc1ccc2[nH]c(nc2c1)S(=O)Cc3ncc(C)c(OC)c3C
O.[O-][N+](=C)c1ccc(C=NN2CC(=O)NC2=O)o1
COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3ccccc3
CCN(CC)CC(=O)Nc1c(C)cccc1C
Cc1oncc1C(=O)Nc2ccc(cc2)C(F)(F)F
Cc1c(CS(=O)c2nc3ccccc3[nH]2)nccc1OCC(F)(F)F
Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl
c1c[nH]cn1
COc1ccccc1OCC(O)CO
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(c1)C(F)(F)F
OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F
CCc1cccc2c3CCOC(CC)(CC(=O)O)c3[nH]c12
CN(C)CCOC(c1ccccc1)c2ccccc2
CCn1nc(C(=O)O)c(=O)c2cc3OCOc3cc12
NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc32
OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
CCCC(C)(COC(=O)N)COC(=O)NC(C)C
NC(=O)N1c2ccccc2C=Cc3ccccc13
OC(=O)CCCCCCCC(=O)O
Nc1cc(c[nH]c1=O)c2ccncc2
Nc1ccc(O)c(c1)C(=O)O
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2
CS(=O)c1ccc(cc1)c2nc(c([nH]2)c3ccncc3)c4ccc(F)cc4
COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)O)c2c1
Cc1ccc(C)c(OCCCC(C)(C)CC(=O)O)c1
OC(=O)c1cc(ccc1O)c2cc(F)cc(F)c2
CNCCCC1c2ccccc2C=Cc3ccccc13
Cc1ccc(cc1)c2cc3c(nc(nc3n2CCN4CCNCC4)N5CCCC5)N6CCCC6
COc1c(CCCCN2CCN(CC2)c3ncccn3)ccc4ccccc14
Fc1ccc(OCCCN2CCCC(C2)c3ccc(F)cc3)cc1
CN(C)CCCN1c2ccccc2Sc3ccc(cc13)C(F)(F)F
CC(=O)N1CCN(CC1)c2ccc(OCC3COC(Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
[O-][N+](=O)c1ccc(cc1)C(=O)CCN2CCOCC2
OC(=O)c1sccc1S(=O)(=O)Nc2ccccc2
OS(=O)(=O)CCCSc1nc2ccccc2s1
OC(=O)CCSc1nc2ccccc2s1
Cc1nc(c(o1)c2ccncc2)c3ccccc3
COCC1OC(=O)c2coc3C(=O)C4=C(C(C[C@]5(C)[C@@H]4CCC5=O)OC(=O)C)C1(C)c23
CC(N)C1CCC(CC1)C(=O)Nc2ccncc2
