O=c/2[nH]c1ccccc1c\2=c4\[nH]c3ccccc3c4=O
Oc3c(N=Nc1ccc(Br)cc1S(O)(=O)=O)c(S(O)(=O)=O)cc4cc(S(O)(=O)=O)c(N=Nc2ccc(Br)cc2S(O)(=O)=O)c(O)c34
Nc5c(N=Nc4ccc(c3ccc(N=Nc2cc(S(O)(=O)=O)c1ccccc1c2N)cc3)cc4)cc(S(O)(=O)=O)c6ccccc56
OC(=O)c1ccccc1C(c2cc(I)c(O)c(I)c2)=c3cc(I)c(=O)c(I)c3
Oc2cc(S(O)(=O)=O)c1ccccc1c2N=Nc4ccc3ccccc3c4O
Oc2ccc1ccccc1c2N=Nc3c(O)cc(S(O)(=O)=O)c4ccccc34
Oc1ccccc1C=NNC(=O)C(=O)NN=Cc2ccccc2O
CCCCCCC(Oc3ccc(S(=O)(=O)c2ccc(OCc1ccccc1)cc2)cc3)C(O)=O
OC(=O)COc3ccc(N=Nc2ccc1cc(Br)ccc1c2O)cc3
Cc4ccc(c3cc(C(O)=O)cc(c2ccc1ccccc1c2)n3)cc4
CC(C)CC(Oc4ccc(OC(=O)c3cc(c1ccc(Cl)cc1)nc(c2ccc(Cl)cc2)c3)cc4)C(O)=O
CCCCc3ccc(c2cc(C(O)=O)cc(c1ccc(Cl)cc1)n2)cc3
OC(=O)c4cc(c1ccc(Cl)cc1)nc(c3ccc(c2ccccc2)cc3)c4
CC(C)(C)c3ccc(c2cc(C(O)=O)cc(c1ccc(Cl)c(Cl)c1)n2)cc3
OC(=O)c4cc(c1ccc(Cl)cc1)nc(c3ccc(Sc2ccc(Cl)cc2)cc3)c4
Clc3ccc(CSC(Cn1ccnc1)c2ccc(Cl)cc2Cl)cc3
CC(=O)c4c(O)c(C)c(O)c(Cc3c(O)c1C=CC(C)(C)Oc1c(C(=O)\C=C\c2ccccc2)c3O)c4O
Cn4cc(c3c(c1cn(CCCSC(N)=N)c2ccccc12)c(=O)[nH]c3=O)c5ccccc45
COC(=O)C2=C(C)NC(C)=C(C(=O)OCCN(C)Cc1ccccc1)C2c3cccc(N(=O)=O)c3
Clc3ccc(COC(Cn1ccnc1)c2ccc(Cl)cc2Cl)c(Cl)c3
O=C1NCc5c1c3c2ccccc2[nH]c3c6[nH]c4ccccc4c56
O=c3c(=c2\[nH]c1ccccc1c2=O)\[nH]c4ccccc34
Clc3ccc(COC(Cn1ccnc1)c2ccc(Cl)cc2Cl)cc3
Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4
CN(C)CCCn4cc(c3c(c1cn(C)c2ccccc12)c(=O)[nH]c3=O)c5ccccc45
O=C(OCc1ccccc1)c2ccccc2
C4CNCC(C=c2c1ccccc1c3ccccc23)C4
Cc3cc(Cl)cc4s/c(=c2/sc1cc(Cl)cc(C)c1c2=O)c(=O)c34
Oc2ccc(N=Nc1cccc(Br)c1)cc2
Clc4ccc3sc(Sc2nnc(NC(=O)c1cccs1)s2)nc3c4
Oc3c(\C=c1\c(=O)[nH]c2ccccc12)ccc4CCCCc34
CC(C)(C)c3cc(\C=c1\c(=O)[nH]c2ncccc12)cc(C(C)(C)C)c3O
O=c2[nH]c1ccccc1c2=Cc4ccc(c3cccs3)s4
COc5ccc4C3CCC2(C)C(NCCCc1ccccc1)CCC2C3CCc4c5
COc5ccc4C3CCC2(C)C(NCCNc1ccc(N(=O)=O)cn1)CCC2C3CCc4c5
Oc3ccc(c2csc(Nc1ccc(F)cc1F)n2)cc3O
ClC3=C(Cl)C4(Cl)C2C(C(=O)N(Nc1ccc(N(=O)=O)cc1N(=O)=O)C2=O)C3(Cl)C4(Cl)Cl
CC(C)c3ccc(\C=c1\c(=O)[nH]c2ccccc12)cc3
Oc5c(I)cc2c(Oc1c(I)c(O)c(I)cc1C24OC(=O)c3c(Cl)c(Cl)c(Cl)c(Cl)c34)c5I
Cc3cc(Cl)cc4s/c(=c2/sc1cc(Cl)cc(C)c1c2=O)c(=O)c34
O=c3oc(=CNc2ccc(Oc1ccccc1)cc2)c4ccccc34
Oc2ccc(N=Nc1ccc(Br)cc1)cc2
Clc4ccc3sc(Sc2nnc(NC(=O)c1ccc(Cl)c(Cl)c1)s2)nc3c4
COC2CC[C@@]1(C)C4C(CC[C@@H]1C2)C3CC[C@@H](NCCN)[C@]3(C)C[C@H]4O
CN(C)c3ccc(\C=c1\c(=O)[nH]c2ccccc12)cc3
CC(C)Nc4ccnc(N3CCN(C(=O)C2Cc1cc(NS(C)(=O)=O)ccc1N2)CC3)c4
Oc3cc(O)c2c(=O)c(O)c(c1ccc(O)c(O)c1)oc2c3
NC(Sc1ccccc1N)=C(C#N)C(/C#N)=C(\N)Sc2ccccc2N
CC(C)=CCc3c(O)c2c(=O)c(c1ccc(O)c(O)c1)coc2c4C=CC(C)(C)Oc34
O=N(=O)c1ccc3c(c1)c(=O)c4ccc5c7ccc8c(=O)c2cc(N(=O)=O)ccc2c9ccc(c6ccc3c4c56)c7c89
CCCC(c1cc(C(C)(C)C)c(O)cc1C)c2cc(C(C)(C)C)c(O)cc2C
Oc9ccc2c(Oc1cc(O)ccc1C28OC(=O)c7c(c3ccccc3)c(c4ccccc4)c(c5ccccc5)c(c6ccccc6)c78)c9
OC(=O)c1c(Br)c(Br)c(Br)c(Br)c1C3c2ccc(O)cc2Oc4cc(O)ccc34
OC(=O)CCc2c1ccc(O)c(O)c1oc3c(O)c(=O)ccc23
Oc4c(C(=O)CSc2nc1ccccc1s2)sc5sc3ccccc3[n+]45
Oc3ccc(c2cc(=O)c1c(O)cc(O)cc1o2)cc3
Fc5ccc(C(=C3CCN(CCN2C(=O)C1C=CC=CC1=NC2=S)CC3)c4ccc(F)cc4)cc5
Nc2nc(N)c(C(=O)NC(=N)NCc1ccc(Cl)c(Cl)c1)nc2Cl
CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
NC(Cc1cc(O)c(O)cc1O)C(O)=O
Oc2cc(\C=C/c1ccc(O)c(O)c1)oc(=O)c2
NC(=O)CI
Oc3cc(O)c2c(=O)c(O)c(c1cc(O)c(O)c(O)c1)oc2c3
Oc3cc(O)c2c(=O)c(O)c(c1cc(O)c(O)c(O)c1)oc2c3
Oc3cc(O)c2c(=O)c(O)c(c1cc(O)c(O)c(O)c1)oc2c3
CCCCCCCC/C=C\CCCCCCCC(=O)NCCc1ccc(O)c(O)c1
Oc3cc(O)c2c(=O)c(O)c(c1ccc(O)c(O)c1)oc2c3
Oc3cc(O)c2c(=O)c(O)c(c1ccc(O)c(O)c1)oc2c3
Oc3cc(O)c2c(=O)c(O)c(c1ccc(O)c(O)c1)oc2c3
Oc5ccc(c2sc1cc(O)ccc1c2C(=O)c4ccc(OCCN3CCCCC3)cc4)cc5
CC(=O)c4c(O)c(C)c(O)c(Cc3c(O)c1C=CC(C)(C)Oc1c(C(=O)\C=C/c2ccccc2)c3O)c4O
COc2cc(Cc1cnc(N)nc1N)cc(OC)c2OC
Clc2ccc(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)cc2
Oc3cc(O)c2c(=O)cc(c1ccc(O)c(O)c1)oc2c3
Oc3cc(O)c2c(=O)c(O)c(c1ccc(O)c(O)c1)oc2c3
Oc3ccc(c2oc1ccc(O)cc1c(=O)c2O)cc3
Oc3cc2oc(c1ccccc1)cc(=O)c2c(O)c3O
CCCCCCCCCCCc1c(O)c(=O)cc(O)c1=O
CC1=NCCc2c1[nH]c3cc(O)ccc23
Oc3ccc2c(=O)c(O)c(c1ccc(O)c(O)c1)oc2c3
CC(C)=CCCC(\C)=C\COc2c1ccoc1cc3oc(=O)ccc23
Oc4ccc3C2=c1cc(O)c(=O)cc1CC2(O)COc3c4O
Oc2ccc(\C=C(/C#N)C(=O)NCCCc1ccccc1)cc2O
Fc5ccc(C(=O)CCCN1CCC4(CC1)N(c2ccccc2)CN(Cc3cccc(F)c3)C4=O)cc5
CC(C)(Cc1c[nH]c2ccc(Cl)cc12)NCCOc3ccccc3OCC4CC4
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)Nc1ccc(O)cc1
Oc3cc(O)c2c(=O)c(O)c(c1ccc(O)c(O)c1)oc2c3
Oc3ccc(c2cc(=O)c1c(O)cc(O)cc1o2)cc3
NC(=N)SCCc2ccc(OCc1ccc(N(=O)=O)cc1)cc2
Oc3c(Br)cc(\C=c1/c(=O)[nH]c2ccc(I)cc12)cc3Br
Brc4ccc3[nH]c2c(CC(=O)Nc1ccccc12)c3c4
CCCc3c(c1ccc(O)cc1)nn(c2ccc(O)cc2)c3c4ccc(O)cc4
Oc4ccc3[nH]cc(CCCCN2CCC(c1ccccc1)=CC2)c3c4
CC(=O)c4c(O)c(C)c(O)c(Cc3c(O)c1C=CC(C)(C)Oc1c(C(=O)\C=C/c2ccccc2)c3O)c4O
Oc3cc2oc(c1ccccc1)cc(=O)c2c(O)c3O
OC(=O)c1ccccc1Nc4cccc(OCc3ccc2ccccc2n3)c4
Oc1ccccc1\C=N/NC(=O)c2ccccc2O
CCCCCCCCCCCc1c(O)c(=O)cc(O)c1=O
NNNNN
Cc5ccc(c4nnn(CC(=O)N(C(C(=O)NC1CCCC1)c2ccco2)c3cccc(F)c3)n4)o5
COc3cc(NS(=O)(=O)c2ccc(NC(=O)COc1ccccc1C)cc2)nc(OC)n3
Cc2ccc(S(=O)(=O)CCC(=O)c1ccc(O)cc1O)cc2
Clc3c(C(=O)Oc2cccc(n1cnnn1)c2)sc4ccccc34
CC(C)C(N(CCc1ccccc1)Cc3cc2cc(C)ccc2nc3O)c4nnnn4Cc5ccco5
Oc3nc2cc1OCOc1cc2cc3C(N4CCCc5ccccc45)c6nnnn6Cc7ccccc7
COc4ccc(NC(=O)Cn3nnc(c1ccccc1NC(=O)c2ccco2)n3)cc4
CCCCCCNC(=O)c2c(O)nc1ccccc1c2O
CC(C)COC(=O)c1nnsc1NC(=O)Nc2ccccc2
Fc4ccc3[nH]c2nc(SCC(=O)OCc1ccccc1)nnc2c3c4
Cc3ccc2nc(SCC(=O)NCc1ccco1)c(C#N)cc2c3
Oc2cc1ccccc1cc2c4nnc(SCC(=O)c3ccc(F)cc3)n4Cc5ccco5
COc5ccc(C(=O)CSc3nnc(c2cc1ccccc1cc2O)n3Cc4ccco4)cc5
COc3ccc(Cc2nnc(NC(=O)Cc1cccs1)s2)cc3
CC2Cc1ccccc1N2C(=O)CSc4nnc(NC(=O)Cc3cccs3)s4
Clc5cccc(Nc4nc(Cc3nnc(SCC(=O)N1CCc2ccccc12)o3)cs4)c5
CS(=O)(=O)c4sc3nc(c1cccs1)cc(c2ccccc2)c3c4N
Oc1ccccc1c4nnc(SCC(=O)Oc3ccc(OCc2ccccc2)cc3)o4
CC4CCN(S(=O)(=O)c3ccc(NC(=O)Cn2nnc(c1ccc(C)cc1)n2)cc3)CC4
O=C(Cn3c(C(=O)N2CCc1ccccc1C2)cc4sccc34)c5ccccc5
